feature,importance,mi_score
pm25_lag1,0.659705467052681,0.7592271673196942
pm25_diff1,0.20332292501295793,0.269278911466988
pm25_ma7,0.13313499873390516,0.7820087042905648
pm25_std7,0.0017618535117067354,0.4582280996362931
pm25_ma30,0.00018192691472407812,0.6250024374361631
era5_total_precipitation_hourly,0.00017681220553859568,0.2583568893110595
pm25_lag7,0.00015323609495554623,0.38507995890208324
precipitation_sum7,0.00011995157513174606,0.2021448693994472
era5_surface_pressure,0.00011129861797882816,0.31413226509918424
relative_humidity,0.00010758174772277984,0.2745826487879901
day_of_year,9.386521134925751e-05,0.30521176242297265
modis_aod,8.267810793776701e-05,0.3187652756155499
s5p_no2,7.874239057986466e-05,0.3456738455246313
wind_speed,7.754801415784224e-05,0.29041610967471065
humidity_aod_interaction,7.698804961683e-05,0.33523037128610067
surface_pressure_hpa,7.299819390729431e-05,0.3113505185926053
wind_no2_interaction,7.138772560399125e-05,0.3396162342450264
day_of_week,6.867840133029518e-05,0.0
temp_aod_interaction,6.7341603824533e-05,0.32389979172467687
era5_v_component_of_wind_10m,6.43408876187439e-05,0.3007675175856148
wind_direction_rad,5.7137456557134755e-05,0.3408154004008095
dewpoint_celsius,5.5364604121336256e-05,0.29721888180268596
era5_u_component_of_wind_10m,5.432776668430422e-05,0.3146569508080308
era5_dewpoint_temperature_2m,5.21398905705133e-05,0.29431785552255185
era5_temperature_2m,4.8916657489602616e-05,0.3000536531862963
wind_direction_deg,4.448210718581246e-05,0.3439511570462699
temperature_celsius,4.039395377591885e-05,0.2960048491996883
atmospheric_stability,3.9246735359005374e-05,0.2960542180092789
distance_to_center_km,2.7549343141088684e-05,0.27115458396167513
elevation_normalized,1.7391230999717926e-05,0.2629264053685998
is_weekend,1.273049999342234e-05,0.0
season,1.0788692878936405e-05,0.15647433884821815
quarter,8.911008014429084e-06,0.1648606714474452
