feature,importance
distance_to_center_km,0.3419909750739024
wind_direction_rad,0.21608563045865778
lat,0.12872004650881827
day_of_year,0.1098490701151793
era5_u_component_of_wind_10m,0.059077762889708854
day_of_week,0.023621019568056092
precipitation_sum7,0.01964200689602849
wind_direction_deg,0.01693137531605065
s5p_no2,0.010513517643511435
era5_total_precipitation_hourly,0.009417143501843956
wind_speed,0.007108413444163467
is_weekend,0.006386497611187555
wind_no2_interaction,0.005463467258112039
humidity_aod_interaction,0.005106824619467987
temp_aod_interaction,0.004690010117375306
era5_dewpoint_temperature_2m,0.004347670396088686
era5_v_component_of_wind_10m,0.004196224317974125
dewpoint_celsius,0.004034726959798736
modis_aod,0.0036220999177119127
era5_surface_pressure,0.0034794700802202225
relative_humidity,0.0033601015456902667
surface_pressure_hpa,0.0031482196444441116
temperature_celsius,0.002141764909300876
era5_temperature_2m,0.00201226457673291
atmospheric_stability,0.0017799685635065394
elevation_normalized,0.0014230104856519262
lon,0.0008600975880722873
elevation,0.0005764736019395872
season,0.000245572296350644
quarter,0.00016857409445353535
