model,station,n_test,r2,rmse,mae
Linear,Cerrillos II,1287,-0.6993794821357129,44.6988674803677,36.66358877918843
Linear,Cerro Navia,2436,0.4465385633950404,15.944567985355143,11.173285778720304
Linear,El Bosque,904,-20.805209716596483,67.36160588086797,66.24810241757503
Linear,Independencia,2491,-0.9773988702136587,28.248236796384536,25.77450327519738
Linear,Las Condes,2413,-125.31469265392109,137.37134438096828,136.71302523615253
Linear,Parque O'Higgins,2460,-0.5056214728932753,37.48501140360317,30.836796203014558
Linear,Pudahuel,2432,0.46173919692856746,11.873177668241455,8.91255223741338
Linear,Talagante,1921,-10.576229684321031,60.015448329976365,58.44507916474586
Ridge,Cerrillos II,1287,-0.6910297196380084,44.58892013969959,36.544936032872805
Ridge,Cerro Navia,2436,0.4466224854139168,15.943359092580302,11.172820085241565
Ridge,El Bosque,904,-20.554040304842243,66.97252043171386,65.85202475185311
Ridge,Independencia,2491,-0.9714878971531595,28.20598443673955,25.730838655549956
Ridge,Las Condes,2413,-122.59633266721296,135.88515244730814,135.22206256925892
Ridge,Parque O'Higgins,2460,-0.5002345715099747,37.417893271724985,30.766864884244914
Ridge,Pudahuel,2432,0.4618203326531102,11.872282771963818,8.91206518287253
Ridge,Talagante,1921,-9.74516688120106,57.8210627354113,56.189276130497674
Lasso,Cerrillos II,1287,-0.43581480709736575,41.08663258153385,32.67320798207837
Lasso,Cerro Navia,2436,0.46618891078602964,15.658958362697811,11.142809631591172
Lasso,El Bosque,904,-5.963058221756246,38.06556772045164,36.29869696893336
Lasso,Independencia,2491,-0.374445302148537,23.55092312820619,20.991780995838436
Lasso,Las Condes,2413,-1.068932355962871,17.58095083458585,15.28459669542443
Lasso,Parque O'Higgins,2460,-1.0387164558125086,43.61924674451922,37.25083970105772
Lasso,Pudahuel,2432,0.2947518602237229,13.590691791781696,10.516728636531896
Lasso,Talagante,1921,-0.6131420200256608,22.403495754872107,17.937171903120177
Random Forest,Cerrillos II,1287,-1.263797422431285,51.590544915966966,45.35228518484998
Random Forest,Cerro Navia,2436,0.6639964139550236,12.423416056090486,7.963324824005754
Random Forest,El Bosque,904,-9.668377641041,47.117418535722436,44.93460407582859
Random Forest,Independencia,2491,-3.888469192253763,44.41510013368546,42.73771935240513
Random Forest,Las Condes,2413,-3.6645737861344676,26.39825363689735,24.330888757441336
Random Forest,Parque O'Higgins,2460,-1.5301084203721906,48.59250783029361,43.35301827511191
Random Forest,Pudahuel,2432,0.04278012293887523,15.833482384236596,13.857581516942108
Random Forest,Talagante,1921,0.20005568728940482,15.776452883169124,13.575406237195775
Gradient Boosting,Cerrillos II,1287,-1.177337297534108,50.595767769756854,44.43353617317854
Gradient Boosting,Cerro Navia,2436,0.7106163720275023,11.529382619533639,7.44030264075468
Gradient Boosting,El Bosque,904,-7.786302207524107,42.75977059134143,40.73516242981079
Gradient Boosting,Independencia,2491,-2.8624731554221445,39.479981574687635,37.86273323047547
Gradient Boosting,Las Condes,2413,-2.6539684984986724,23.364237545364556,20.963506379494607
Gradient Boosting,Parque O'Higgins,2460,-0.9461655338346646,42.61766348693797,37.457177661825014
Gradient Boosting,Pudahuel,2432,-0.447051741319314,19.467609185583093,17.458852020781226
Gradient Boosting,Talagante,1921,0.08115462416139396,16.908329566547312,15.200473580742196
XGBoost,Cerrillos II,1287,-1.2143116507196812,51.02355415808033,44.781172684207846
XGBoost,Cerro Navia,2436,0.6784716378880673,12.15286623479343,7.786644346021079
XGBoost,El Bosque,904,-2.5102874130011648,27.027360627379924,18.88538518627133
XGBoost,Independencia,2491,-2.82968259183035,39.31204123021639,37.71288050020234
XGBoost,Las Condes,2413,-9.936123506898147,40.420428833329794,38.67770484706153
XGBoost,Parque O'Higgins,2460,0.4577528034190328,22.49564267705679,16.729903931346367
XGBoost,Pudahuel,2432,0.2869169171464736,13.665976064917233,9.833188200859647
XGBoost,Talagante,1921,0.42024605060780873,13.430783396314428,9.263111045495847
