model,station,n_test,r2,rmse,mae
XGBoost_Baseline,Cerrillos II,1287,-1.2143116507196812,51.02355415808033,44.781172684207846
XGBoost_Baseline,Cerro Navia,2436,0.6784716378880673,12.15286623479343,7.786644346021079
XGBoost_Baseline,El Bosque,904,-2.5102874130011648,27.027360627379924,18.88538518627133
XGBoost_Baseline,Independencia,2491,-2.82968259183035,39.31204123021639,37.71288050020234
XGBoost_Baseline,Las Condes,2413,-9.936123506898147,40.420428833329794,38.67770484706153
XGBoost_Baseline,Parque O'Higgins,2460,0.4577528034190328,22.49564267705679,16.729903931346367
XGBoost_Baseline,Pudahuel,2432,0.2869169171464736,13.665976064917233,9.833188200859647
XGBoost_Baseline,Talagante,1921,0.42024605060780873,13.430783396314428,9.263111045495847
XGBoost_Enhanced,Cerrillos II,1287,-1.2609771909343177,51.55839923421687,45.25783159201147
XGBoost_Enhanced,Cerro Navia,2436,0.666146132863071,12.383610369958593,7.923381575809911
XGBoost_Enhanced,El Bosque,904,-2.4089702295511883,26.63446038382962,18.811126199443784
XGBoost_Enhanced,Independencia,2491,-3.9569733558874356,44.72522113816215,42.90064978628262
XGBoost_Enhanced,Las Condes,2413,-10.374167013676663,41.22199574356675,39.40139894528948
XGBoost_Enhanced,Parque O'Higgins,2460,0.4635277619544189,22.375532191101758,16.547629964254735
XGBoost_Enhanced,Pudahuel,2432,-0.5246400053008049,19.98270350802959,14.117474915557786
XGBoost_Enhanced,Talagante,1921,0.4310914443530721,13.304566228623916,9.216498281110518
